,0,1
0,132.0232855179992,10.93
1,158.71096241772838,32.02
2,105.29824385509409,10.47
3,137.8510669672508,23.34
4,143.71960333559434,11.9
5,160.57992073420877,31.33
6,152.57655128902937,22.29
7,134.51618877758125,21.83
8,159.8355686041082,39.01
9,159.67435186045682,34.47
10,162.5056179254758,30.0
11,122.6996525824947,9.76
12,169.3926220254889,31.53
13,200.33041323323224,17.69
14,159.2326346548666,28.58
15,143.01972566211865,19.59
16,134.5350008994894,16.09
17,138.36391939685606,18.52
18,132.21343227786292,9.43
19,175.04073077651339,20.14
20,181.33647272013653,15.19
21,163.22241887028048,29.46
22,128.0154320981489,27.53
23,171.46557304975735,6.45
24,195.42034528272325,14.56
25,155.94085236920168,51.42
26,143.87992812238895,21.27
27,143.5208167401147,23.31
28,200.49099910743575,20.1
29,146.86022406205132,46.83
30,153.47633925484269,40.19
31,135.79184654541947,25.08
32,157.49031850651366,38.94
33,134.21802384333543,15.87
34,132.48297633994167,11.67
35,162.66555817761756,20.99
36,166.60150548097687,25.67
37,156.10477635432497,39.23
38,132.47001562726177,13.15
39,136.64514426357903,21.16
40,149.40789044581305,39.71
41,138.66785102571743,20.76
42,135.50139047459692,20.94
43,137.22836092091754,21.18
44,140.34221747642417,22.21
45,137.74922596044672,22.61
46,135.62350993488272,21.19
47,140.11846705170203,20.62
48,132.6768767337334,10.19
49,142.72613072124074,22.81
50,171.75497996108777,16.09
51,133.1027540070265,16.94
52,158.18198706112983,43.48
53,136.58168365385276,36.5
54,129.91272099696886,7.3
55,166.3063181604525,17.62
56,148.26144205602705,48.68
57,141.45768094427993,15.42
58,163.55138838829782,40.02
59,163.25345314987143,28.29
60,197.4039741640957,7.16
61,136.16120605093582,17.48
62,136.72732994036758,19.41
63,135.11383397856488,14.68
64,142.5908905415943,18.36
65,153.9999041915016,30.69
66,148.35841364831526,31.49
67,175.49546458900812,43.56
68,155.59859810519814,27.59
69,150.65345302094613,26.93
70,135.3785536284647,21.59
71,149.51975491005524,23.91
72,139.8630426066408,23.7
73,139.11789238733297,21.43
74,136.97808192935403,25.53
75,149.29069483093494,24.48
76,141.2524295282771,25.86
77,150.48407419031338,38.4
78,136.2013228304945,32.84
79,135.8989944398256,21.13
80,137.154382822552,21.45
81,107.61922436092615,7.88
82,106.32096827225962,8.85
83,108.72325358720389,8.72
84,131.23682852243394,14.88
85,160.8154709504976,33.75
86,179.59050892399696,26.31
87,139.86078351272803,25.66
88,135.07445804747456,20.93
89,146.25523812524975,33.33
90,107.13876951487264,7.88
91,131.06047965601954,11.83
92,147.75079130426792,47.08
93,108.43698374663049,6.59
94,107.75211305302679,7.27
95,107.85432438375628,8.54
96,107.94632452169756,8.63
97,106.47426189297875,5.58
98,157.96118193992405,33.99
99,137.55684870286427,19.48
100,158.90261884732374,40.2
101,193.92545212626197,10.19
102,170.32941192027525,29.18
103,152.86480997917053,40.17
104,165.77217433261296,39.47
105,150.99792665867113,42.9
106,135.28518516347333,20.85
107,161.77043859107764,30.72
108,146.05246876757442,33.74
109,164.80108581997888,37.62
110,143.05372003256068,31.67
111,151.67618352759604,34.06
112,166.29937231018977,31.13
113,139.65983224714688,27.99
114,161.53757496513313,37.8
115,148.8131370173088,31.93
116,141.85571193065198,22.85
117,142.88336950566028,37.37
118,104.53302703129556,8.44
119,134.60784438010035,15.51
120,161.63687487913242,40.89
121,135.7524957213309,20.42
122,107.10815432607274,8.89
123,140.42388667378404,21.14
124,129.62005182300987,40.8
125,160.74310656338312,24.73
126,153.55917735043727,32.73
127,159.7887303088075,36.34
128,167.35604753392994,31.07
129,141.65903815986772,37.79
130,154.53223218688893,42.41
131,136.38550505722594,32.21
132,194.46625093122296,21.41
133,168.54244361380862,32.19
134,134.12521963362434,12.92
135,121.11400423886558,8.19
136,137.29295901360376,21.29
137,162.70817087975175,40.96
138,153.3752687178585,42.78
139,135.2939958947273,17.56
140,161.9833235824904,35.76
141,149.85591929440724,29.55
142,156.92696081935475,38.12
143,159.74474670891541,41.3
144,146.23744012858688,45.2
145,137.62134718074844,14.14
146,137.49050714051435,19.66
147,166.8115767617337,20.34
148,134.7322219182267,15.86
149,151.79300909898518,46.78
150,166.6390562053048,28.47
151,136.22029748791653,16.07
152,127.72903551900916,6.2
153,136.90980233094766,13.3
154,136.1444056076936,14.5
155,165.56499880647527,39.01
156,136.5810018090447,11.11
157,135.13897956208442,11.33
158,146.39030757903146,42.25
159,109.71462307736036,7.56
160,194.20952572708813,33.32
161,144.85078456077937,39.99
162,134.4750475986198,13.76
163,138.002396328658,23.57
164,163.16934919943944,31.51
165,139.61365762532964,19.01
166,136.4971690068683,18.76
167,135.96603931226562,15.95
168,134.9428249192353,18.29
169,137.36664687033308,19.75
170,158.88602427957443,50.87
171,168.21958030958578,27.03
172,130.09040621583662,3.0
173,162.17267127683647,31.97
174,114.18192197792226,6.68
175,135.39589375652776,15.57
176,161.91533848868434,28.12
177,155.07001877263423,40.35
178,143.93368946599873,22.52
179,114.08093912796329,12.18
180,143.0233313363531,26.52
181,144.7424243606177,22.17
182,137.6867667117529,20.71
183,136.97297828894798,22.11
184,137.48401211481962,22.11
185,149.87341377722183,26.23
186,114.85722591491562,5.21
187,137.29547081284548,18.95
188,153.54602951236322,40.36
189,115.03161422329634,9.77
190,145.55033993847164,38.89
191,115.77893724697691,4.87
192,114.51976466457658,8.62
193,187.40196868515352,5.93
194,162.53598609529053,26.08
195,143.26528091205225,24.37
196,165.36822799427094,29.21
197,158.16417702895606,42.48
198,141.22683359408313,25.29
199,114.16233292931827,11.05
200,164.13129222700812,31.93
201,115.31852532044807,6.38
202,117.4042109803439,7.46
203,113.54690321605295,7.42
204,139.43355620059296,16.19
205,148.0579591762331,40.5
206,136.1809569597321,19.57
207,133.62272388791686,16.25
208,115.05217209246534,8.59
209,155.02939816258635,40.22
210,115.59429664492184,6.09
211,132.69498203306452,18.48
212,134.12736760703325,15.65
213,128.42995174367869,3.51
214,136.90285026820328,19.94
215,136.3544321269541,17.13
216,127.2012584066917,7.8
217,132.08092298724495,14.65
218,143.90325070493097,17.52
219,134.51328280610105,15.78
220,134.28672094018714,18.73
221,131.60060858042402,15.12
222,133.36031478166004,18.9
223,130.546353294522,4.92
224,132.69471633641524,9.73
