,r,s,p,elevation
0,119.99999999999999,23.199999999999996,0.0,-17.396484375017558
1,120.00978416941491,23.20006462830351,1.0,-12.508657768626648
2,120.01956834824594,23.200128651630813,2.0,-16.135932404937567
3,120.02935253640455,23.20019206997946,3.0,-17.86289036979886
4,120.0391367338022,23.200254883347032,4.0,-16.682266082495833
5,120.0489209403504,23.200317091731115,5.0,-11.291269395841136
6,120.0587051559606,23.200378695129352,6.0,-8.393897575179201
7,120.06848938054428,23.20043969353937,7.0,-5.627898270393054
8,120.07827361401293,23.20050008695885,8.0,-2.3122971592211363
9,120.08805785627797,23.200559875385476,9.0,-1.4269263449140754
10,120.09784210725095,23.200619058816976,10.0,-0.0036189678461877625
11,120.1076263668433,23.200677637251076,11.0,0.7256746506673334
12,120.11741063496646,23.200735610685538,12.0,0.7383349504302297
13,120.12719491153197,23.20079297911816,13.0,2.270227487729903
14,120.13697919645121,23.200849742546733,14.0,3.5525723583062527
15,120.14676348963572,23.20090590096909,15.0,3.329440355766083
16,120.15654779099687,23.2009614543831,16.0,6.632547098827502
17,120.16633210044623,23.20101640278662,17.0,4.812411298034135
18,120.17611641789519,23.20107074617757,18.0,4.010328815561808
19,120.18590074325522,23.20112448455386,19.0,4.119659399041389
20,120.19568507643778,23.201177617913437,20.0,3.451024645695029
21,120.20546941735435,23.20123014625428,21.0,3.845535204645253
22,120.21525376591639,23.201282069574365,22.0,4.198006931177529
23,120.22503812203529,23.201333387871724,23.0,4.016106896941717
24,120.23482248562254,23.201384101144395,24.0,1.930983833893536
25,120.24460685658963,23.201434209390428,25.0,3.8025398870813443
26,120.25439123484797,23.201483712607917,26.0,3.31069941609514
27,120.26417562030902,23.20153261079497,27.0,4.962085041853228
28,120.2739600128842,23.201580903949708,28.0,8.40849329962844
29,120.28374441248504,23.201628592070303,29.000000000000004,10.79108422955524
30,120.29352881902288,23.20167567515492,30.0,10.259237050529265
31,120.30331323240924,23.201722153201768,30.999999999999996,14.058789792414784
32,120.31309765255553,23.201768026209066,32.0,17.608662280894485
33,120.32288207937323,23.20181329417506,33.0,23.95763044893182
34,120.33266651277374,23.201857957098017,34.0,26.053000093058053
35,120.3424509526685,23.201902014976238,35.0,33.2147548189281
36,120.35223539896901,23.201945467808034,36.0,33.015076334901174
37,120.36201985158664,23.201988315591752,37.0,33.60598574652759
38,120.37180431043285,23.20203055832574,38.0,59.390198778130845
39,120.38158877541912,23.202072196008398,39.0,72.62171943660613
40,120.39137324645681,23.202113228638126,40.0,79.24382422578852
41,120.40115772345743,23.20215365621336,41.0,71.20052670259864
42,120.41094220633235,23.202193478732557,42.0,67.83827890271537
43,120.42072669499306,23.20223269619419,43.0,77.41260046060374
44,120.43051118935097,23.20227130859676,44.0,86.03037146608565
45,120.44029568931751,23.2023093159388,45.0,101.52570274237797
46,120.45008019480412,23.202346718218852,46.0,160.81088678144803
47,120.4598647057222,23.20238351543548,47.0,198.83768712185898
48,120.4696492219832,23.202419707587282,48.0,182.52029955924206
49,120.47943374349856,23.20245529467288,49.0,156.4633567533825
50,120.48921827017969,23.202490276690913,50.0,133.28623684261535
51,120.49900280193805,23.202524653640044,51.0,95.09391072030422
52,120.50878733868502,23.202558425518948,52.0,118.6594040819222
53,120.51857188033205,23.20259159232635,53.0,158.78997337610195
54,120.52835642679057,23.20262415406097,54.0,195.00272405334945
55,120.53814097797199,23.202656110721573,55.0,251.1818143076229
56,120.54792553378776,23.20268746230694,56.0,284.47186137647105
57,120.55771009414926,23.20271820881586,57.0,425.23832461768166
58,120.56749465896795,23.202748350247166,58.00000000000001,595.0183078583917
59,120.57727922815522,23.202777886599705,59.0,973.235796130736
60,120.58706380162252,23.202806817872347,60.0,683.7604883144757
61,120.59684837928125,23.20283514406399,61.0,474.9625734194781
62,120.60663296104283,23.202862865173547,61.99999999999999,287.1471027968588
63,120.61641754681871,23.202889981199963,63.0,461.11406646499364
64,120.62620213652026,23.202916492142197,64.0,390.02189047242507
65,120.63598673005893,23.202942397999234,65.0,564.640604165077
66,120.64577132734613,23.20296769877009,66.0,743.5512892812902
67,120.65555592829327,23.2029923944538,67.0,668.6724676188367
68,120.66534053281175,23.203016485049414,68.0,503.2232496172809
