,r,s,p,elevation
0,119.99999999999999,24.000000000000043,0.0,-43.51757812500536
1,120.00984402105249,24.0000667253236,1.0,-41.82466739804426
2,120.01968805226524,24.00013282220218,2.0,-40.99303470123511
3,120.0295320935422,24.00019829063319,3.0,-38.646640361366636
4,120.03937614478718,24.00026313061406,4.0,-33.158834670350984
5,120.04922020590413,24.000327342142235,5.0,-30.50739358273345
6,120.0590642767969,24.00039092521521,6.0,-29.038606737667347
7,120.06890835736944,24.000453879830467,7.0,-28.105278945100565
8,120.07875244752559,24.00051620598554,8.0,-27.297214001277997
9,120.08859654716923,24.000577903677982,9.0,-27.100474640594985
10,120.09844065620426,24.000638972905374,10.0,-28.246142176918113
11,120.10828477453457,24.000699413665306,11.0,-30.501071334649627
12,120.11812890206402,24.00075922595541,12.0,-31.923504673802746
13,120.12797303869652,24.000818409773338,13.0,-32.96821898654128
14,120.13781718433592,24.00087696511676,14.0,-34.28774632896803
15,120.14766133888611,24.00093489198337,15.0,-34.98015583740032
16,120.157505502251,24.00099219037091,16.0,-34.93088016687847
17,120.16734967433439,24.00104886027711,17.0,-35.313213671243645
18,120.17719385504022,24.001104901699755,18.0,-36.5202374225028
19,120.18703804427233,24.001160314636643,19.0,-38.898947053533306
20,120.19688224193459,24.00121509908559,20.0,-39.471904703848296
21,120.20672644793086,24.001269255044452,21.0,-38.145516912792154
22,120.21657066216505,24.001322782511096,22.0,-35.4695438903982
23,120.22641488454099,24.001375681483413,23.0,-28.24773825692995
24,120.23625911496254,24.00142795195934,24.0,-23.61967152899461
25,120.24610335333361,24.00147959393681,25.0,-23.09133310419957
26,120.255947599558,24.0015306074138,26.0,-19.123364495240835
27,120.26579185353961,24.001580992388305,27.0,-15.789788149545956
28,120.27563611518228,24.00163074885835,28.0,-10.759429133027524
29,120.28548038438991,24.001679876821974,29.000000000000004,-12.956997211087115
30,120.29532466106632,24.001728376277242,30.0,-11.044500620367385
31,120.30516894511535,24.00177624722226,30.999999999999996,-5.8580337478822155
32,120.31501323644093,24.001823489655138,32.0,-2.6806869586067497
33,120.32485753494682,24.00187010357403,33.0,0.6076549337540718
34,120.33470184053695,24.001916088977094,34.0,-0.40531863641003346
35,120.34454615311515,24.00196144586253,35.0,-0.40521278411682704
36,120.35439047258524,24.002006174228548,36.0,1.8812699270856357
37,120.36423479885109,24.0020502740734,37.0,4.82967962860632
38,120.37407913181656,24.002093745395346,38.0,7.029012407188915
39,120.38392347138549,24.00213658819269,39.0,6.638097812415453
40,120.39376781746171,24.002178802463735,40.0,8.013313240087065
41,120.4036121699491,24.002220388206826,41.0,8.36033789447751
42,120.41345652875148,24.002261345420333,42.0,8.731009419874349
43,120.42330089377269,24.002301674102647,43.0,8.020996023734854
44,120.43314526491663,24.002341374252175,44.0,10.476632751304297
45,120.44298964208704,24.002380445867363,45.0,10.997599116567143
46,120.45283402518783,24.002418888946682,46.0,12.150155892643632
47,120.46267841412285,24.002456703488612,47.0,13.552329701386938
48,120.47252280879589,24.00249388949167,48.0,13.850282759331677
49,120.48236720911082,24.0025304469544,49.0,14.94223103975838
50,120.49221161497147,24.002566375875357,50.0,15.273061574155616
51,120.50205602628166,24.002601676253136,51.0,16.98326104913362
52,120.51190044294528,24.002636348086348,52.0,17.57875733594893
53,120.52174486486608,24.00267039137363,53.0,16.956551703632286
54,120.53158929194798,24.002703806113644,54.0,16.945910485795217
55,120.54143372409474,24.002736592305077,55.0,18.403840035141876
56,120.55127816121025,24.002768749946643,56.0,17.908929416861614
57,120.56112260319831,24.002800279037075,57.0,19.733912228816138
58,120.57096704996276,24.002831179575136,58.00000000000001,21.287560168140587
59,120.58081150140742,24.002861451559617,59.0,40.35535338619194
60,120.59065595743614,24.002891094989327,60.0,101.40425040060705
61,120.60050041795274,24.00292010986309,61.0,164.50671005307117
62,120.61034488286103,24.00294849617978,61.99999999999999,205.12023003361244
63,120.62018935206484,24.002976253938268,63.0,132.20573131127182
64,120.63003382546803,24.00300338313748,64.0,69.50481863655688
65,120.6398783029744,24.003029883776335,65.0,58.31873875907325
66,120.64972278448775,24.003055755853797,66.0,68.20032817649404
67,120.65956726991196,24.003080999368855,67.0,76.50842997381795
68,120.6694117591508,24.00310561432051,68.0,81.20213116824894
69,120.67925625210815,24.003129600707798,69.0,86.03449332655663
70,120.68910074868779,24.00315295852977,70.0,92.40988569472931
71,120.69894524879355,24.00317568778552,71.0,138.68539194134323
72,120.70878975232927,24.003197788474154,72.0,163.70145303080182
73,120.71863425919874,24.003219260594793,73.0,115.82811769403736
74,120.72847876930581,24.0032401041466,74.0,125.99433858561576
75,120.73832328255428,24.00326031912875,75.0,131.09804652578754
76,120.74816779884796,24.003279905540456,76.0,220.9081289958377
77,120.7580123180907,24.003298863380945,77.0,245.76406866705125
78,120.76785684018631,24.003317192649483,78.0,320.3646116807497
79,120.77770136503858,24.00333489334533,79.0,424.1320680620318
80,120.78754589255138,24.003351965467804,80.0,454.80156999436
81,120.7973904226285,24.00336840901623,81.0,393.17189411460083
82,120.80723495517373,24.00338422398996,82.0,219.63847086648153
83,120.8170794900909,24.003399410388376,83.0,265.4990442173362
84,120.82692402728385,24.003413968210886,84.0,452.96790817453433
85,120.8367685666564,24.00342789745691,85.0,516.3092926419129
86,120.84661310811232,24.0034411981259,86.0,300.28678015731424
87,120.85645765155547,24.00345387021734,87.0,464.40907969664573
88,120.86630219688966,24.003465913730718,88.0,593.8281041096742
89,120.87614674401867,24.003477328665582,89.0,608.3155432412766
90,120.88599129284636,24.003488115021472,90.0,500.63073427352305
91,120.8958358432765,24.00349827279796,91.0,561.6532407494389
92,120.9056803952129,24.003507801994658,92.0,699.6211211786541
93,120.91552494855944,24.003516702611183,93.0,532.0633853371686
94,120.92536950321987,24.00352497464719,94.0,538.2227315602861
95,120.93521405909803,24.003532618102348,95.0,468.2612745705529
96,120.94505861609773,24.003539632976356,96.0,487.4554196172873
97,120.95490317412275,24.00354601926895,97.0,455.02276678657114
98,120.96474773307696,24.00355177697987,98.0,437.36314275791784
99,120.97459229286412,24.00355690610889,99.0,458.44704323664695
100,120.9844368533881,24.00356140665581,100.0,643.7181126403151
101,120.99428141455265,24.003565278620453,101.0,868.8638189463628
102,121.00412597626162,24.00356852200267,102.0,1111.471109709914
103,121.0139705384188,24.00357113680233,103.0,859.4692938150058
104,121.02381510092803,24.00357312301933,104.0,1161.9404611499847
105,121.0336596636931,24.003574480653587,105.0,883.7099830546905
106,121.04350422661781,24.003575209705062,106.0,814.492546761134
107,121.05334878960602,24.00357531017372,107.0,666.495356425937
108,121.06319335256148,24.003574782059545,108.0,726.2845585516825
109,121.07303791538804,24.00357362536257,109.0,837.1999251740217
110,121.0828824779895,24.00357184008284,110.0,728.158782362521
111,121.09272704026971,24.003569426220427,111.0,867.9284550488629
112,121.10257160213241,24.003566383775414,112.0,1176.7249839516892
113,121.11241616348146,24.003562712747932,113.0,970.1431123830911
114,121.12226072422065,24.003558413138123,114.0,1290.481340145526
115,121.13210528425381,24.003553484946153,115.00000000000001,1098.4996058575582
116,121.14194984348475,24.00354792817222,116.00000000000001,1169.6973765792006
117,121.15179440181727,24.003541742816537,116.99999999999999,1648.7494600341
118,121.16163895915518,24.003534928879354,118.0,1754.1900407535643
119,121.17148351540233,24.003527486360934,119.0,1786.3415381400484
120,121.18132807046247,24.003519415261565,120.0,1807.066699876457
121,121.19117262423947,24.003510715581573,121.0,1616.9215130732948
122,121.20101717663711,24.003501387321297,122.0,1581.0893385913423
123,121.21086172755922,24.0034914304811,123.00000000000001,1889.2800718973692
124,121.22070627690964,24.003480845061375,123.99999999999999,2187.735871077941
125,121.23055082459211,24.003469631062536,124.99999999999999,1992.7026851340368
126,121.24039537051047,24.00345778848503,126.0,2082.422891160225
127,121.2502399145686,24.003445317329316,127.0,2637.503920897735
128,121.26008445667024,24.00343221759589,128.0,2675.84765602178
129,121.26992899671923,24.003418489285263,129.0,2957.47544331344
130,121.2797735346194,24.003404132397975,130.0,2677.5072672960127
131,121.28961807027451,24.003389146934587,131.0,2525.7750428257555
132,121.29946260358844,24.003373532895694,132.0,2232.44231893388
133,121.30930713446499,24.003357290281905,133.0,1896.0633020457321
134,121.31915166280797,24.00334041909386,134.0,1483.2960797951237
135,121.32899618852117,24.00332291933222,135.0,1880.955650566251
136,121.33884071150845,24.003304790997674,136.0,1488.9199925261623
137,121.34868523167364,24.003286034090934,137.0,1373.0912349633456
138,121.3585297489205,24.00326664861274,138.0,1504.1328541340083
139,121.36837426315287,24.003246634563848,139.0,1445.5882766802665
140,121.37821877427463,24.003225991945044,140.0,915.3901436003301
141,121.3880632821895,24.00320472075715,141.0,833.8193430858429
142,121.39790778680134,24.00318282100099,142.0,667.4772062988841
143,121.40775228801404,24.003160292677425,143.0,767.1785363183375
144,121.41759678573129,24.00313713578735,144.0,598.4718049214728
145,121.42744127985702,24.003113350331674,145.0,407.3602119066399
146,121.43728577029503,24.00308893631131,146.0,571.2780913513648
147,121.44713025694911,24.003063893727248,147.0,1030.0430175349723
148,121.4569747397231,24.00303822258045,148.0,1259.9837239239744
149,121.46681921852081,24.003011922871934,149.0,1126.4080329034502
150,121.4766636932461,24.002984994602738,150.0,884.2539552760253
151,121.48650816380277,24.0029574377739,151.0,1443.6425657115806
152,121.49635263009468,24.00292925238653,152.0,1793.8218902852132
153,121.50619709202562,24.00290043844171,153.0,1637.2490275030157
154,121.5160415494994,24.002870995940597,154.0,1141.2792347793504
155,121.52588600241991,24.00284092488432,155.0,611.8121455894003
156,121.53573045069092,24.00281022527409,156.0,552.1230547271346
157,121.54557489421629,24.00277889711109,157.0,172.7805248810139
158,121.55541933289986,24.00274694039656,158.0,82.76944603404246
159,121.56526376664542,24.00271435513176,159.0,57.344798279236564
160,121.57510819535683,24.00268114131796,160.0,41.53475395541649
161,121.58495261893793,24.002647298956475,161.0,28.31615192416665
162,121.59479703729257,24.002612828048626,162.0,18.798755988692314
163,121.60464145032454,24.00257772859577,163.0,15.453977996872188
164,121.61448585793767,24.00254200059929,164.0,14.77579096304015
165,121.62433026003586,24.002505644060587,165.0,27.892386341603338
166,121.63417465652287,24.00246865898109,166.0,4.9107163398237095
167,121.64401904730259,24.002431045362258,167.0,-7.379109014371484
168,121.65386343227885,24.00239280320556,168.0,-25.274087181190694
169,121.6637078113555,24.0023539325125,169.0,-125.21360331706722
170,121.67355218443633,24.002314433284607,170.0,-191.80771692944478
171,121.68339655142523,24.002274305523425,171.0,-301.22203097283585
172,121.69324091222603,24.00223354923055,172.0,-407.9257699766938
173,121.70308526674256,24.002192164407564,173.0,-716.886140288817
174,121.71292961487869,24.002150151056103,174.0,-1036.1525742686124
175,121.72277395653825,24.00210750917782,175.0,-1155.8959405246585
176,121.73261829162506,24.00206423877438,176.0,-1262.9669775497496
177,121.74246262004303,24.00202033984749,177.0,-1357.8753307373152
178,121.75230694169598,24.001975812398875,178.0,-1461.0881903374022
179,121.76215125648773,24.001930656430286,179.0,-1683.5087433891013
180,121.77199556432217,24.001884871943485,180.0,-1972.9459184592645
181,121.78183986510311,24.001838458940284,181.0,-2265.3503892261137
182,121.79168415873444,24.001791417422506,182.0,-2646.4552859593955
183,121.80152844512001,24.00174374739199,183.0,-2901.0010894318416
184,121.81137272416366,24.001695448850622,184.0,-3057.583798441818
185,121.82121699576926,24.00164652180029,185.0,-3050.599242277325
186,121.83106125984065,24.001596966242918,186.0,-2774.771453001424
187,121.84090551628172,24.001546782180455,187.0,-2396.10526704869
188,121.85074976499631,24.00149596961487,188.0,-2195.3313066567675
189,121.86059400588826,24.00144452854816,189.0,-2124.6622644594495
190,121.87043823886147,24.001392458982348,190.0,-2080.9182126533724
191,121.8802824638198,24.00133976091948,191.0,-2043.427159566739
192,121.8901266806671,24.00128643436162,192.0,-2095.166239745032
193,121.8999708893072,24.00123247931087,193.0,-2271.448385330164
194,121.90981508964401,24.00117789576935,194.0,-2470.496474301401
195,121.91965928158143,24.0011226837392,195.0,-2646.8622472558905
196,121.92950346502327,24.001066843222596,196.0,-2795.8923200505265
197,121.93934763987345,24.001010374221725,197.0,-2870.295007057219
198,121.94919180603578,24.0009532767388,198.0,-2851.557598242726
199,121.95903596341421,24.000895550776082,199.0,-2820.432460627211
200,121.96888011191254,24.000837196335826,200.0,-2827.1450442422115
201,121.97872425143471,24.000778213420325,201.0,-2880.0825134303645
202,121.98856838188455,24.000718602031903,202.0,-2930.2668071447883
203,121.998412503166,24.000658362172896,203.0,-2950.900953307336
204,122.00825661518286,24.00059749384567,204.0,-2968.80983554795
205,122.01810071783909,24.000535997052623,205.0,-2952.7969305135002
206,122.02794481103852,24.00047387179617,206.0,-2986.433453526895
207,122.03778889468506,24.00041111807874,207.0,-2992.7247473557304
208,122.0476329686826,24.00034773590281,208.0,-2994.0068355710987
209,122.05747703293501,24.00028372527087,209.0,-2997.9445871000876
210,122.06732108734619,24.000219086185428,210.0,-3002.131774063343
211,122.07716513182005,24.000153818649032,211.0,-3000.562314488523
212,122.08700916626043,24.000087922664235,212.0,-2968.216021421169
213,122.0968531905713,24.000021398233642,213.0,-2977.207384668958
214,122.10000000000032,24.000000000000043,213.31966718914364,-2975.9609374997917
