,0,1
0,143.48062787388605,24.62
1,134.0966770697421,37.57
2,130.79052264020743,16.23
3,142.3145525200141,75.93
4,197.0965026378493,24.56
5,116.01599977797888,53.02
6,159.6514730123165,105.66
7,186.98894020080726,150.33
8,105.2512798551512,16.78
9,139.5877798488062,14.62
10,138.52590437475453,77.62
11,112.7775020805331,48.93
12,121.16819773406228,15.08
13,122.72271793452552,8.39
14,131.60974753687935,34.31
15,128.40227116031522,26.85
16,167.77071980979835,16.92
17,134.35714713323176,33.77
18,119.85627733399856,25.94
19,121.46955275004183,12.14
20,135.81109364948747,55.2
21,173.7816805949428,4.46
22,176.19288795275014,3.94
23,102.88799207287641,10.98
24,119.47872061342228,22.51
25,105.91876078326351,24.53
26,164.07225752923475,111.67
27,139.43655048702038,15.16
28,141.6608639915924,14.05
29,141.10692186395784,6.88
30,140.30247643188338,7.62
31,131.85909381825957,65.76
32,142.73613393714848,12.49
33,144.92233923176997,4.29
34,148.44670929301236,21.39
35,159.1284484452274,113.46
36,120.83071181555253,29.24
37,139.51297153523234,10.21
38,192.66567805850454,27.42
39,175.2065963756343,18.69
40,139.7857014487675,3.99
41,137.0341226391625,22.47
42,140.81027256104434,18.73
43,104.3242000633778,12.76
44,104.47869809491694,8.03
45,104.78753233635162,8.65
46,103.29657773442854,13.59
47,102.9061650486153,8.77
48,107.94431397914914,4.49
49,103.07999585560586,13.98
50,103.91196815036976,14.04
51,136.6312725533796,24.38
52,128.27927242541358,15.51
53,111.26453140437307,21.01
54,130.8290505124364,74.48
55,122.20076221470195,27.46
56,163.81764518944559,110.17
57,131.64889153941976,15.55
58,120.3456558919587,18.98
59,137.82367841874967,2.58
60,166.94363871799763,21.72
61,160.5164385101639,109.03
62,139.5958082074644,4.76
63,147.72514635933078,4.34
64,125.82103939468453,5.97
65,158.3189537702536,86.32
66,201.76537211092364,19.99
67,111.51239753631783,43.14
68,125.44168660666506,45.75
69,141.15573258343747,8.18
70,180.3306617948331,14.96
71,125.4659576241518,10.9
72,135.18336437836456,5.45
73,115.419190308995,29.48
74,150.06457414096383,38.01
75,170.8899628532421,9.97
76,162.11800405273368,104.12
77,136.10201303706955,13.89
78,153.75851305557063,112.0
79,104.63606686984384,18.8
80,138.45152477021793,5.03
81,103.52268366041326,12.54
82,162.61657741422866,106.13
83,123.31895841343368,44.21
84,185.69281742053587,19.59
85,106.91658776575024,53.38
86,132.30282454269945,3.65
87,135.91855026261402,28.93
88,120.54025596359381,25.81
89,181.4496609881123,2.75
90,164.50663671042383,117.65
91,136.53634637492843,23.09
92,150.57170378032174,85.67
93,141.5888838446326,15.1
94,105.65315255167614,48.41
95,133.0891179249071,28.68
96,137.4552589680504,64.41
97,143.3192194752506,5.32
98,102.97949616856948,41.25
99,103.01068858054099,51.61
100,135.484634617152,9.56
101,138.95296287494108,10.08
102,141.4743867860994,23.49
103,123.11472863998343,20.32
104,140.63408282933372,21.19
105,120.27575799158234,44.78
106,132.437610445542,26.91
107,204.62672504234726,3.81
108,105.60042871163063,43.26
109,131.66480612458523,54.01
110,144.5424114437474,4.77
111,120.56356428593952,40.45
112,135.8181293209384,7.52
113,138.70525922063328,7.72
114,137.57809936940782,9.18
115,103.9633925442858,9.93
116,114.6531151838008,22.04
117,168.83255948945205,9.2
118,140.29204838544644,1.2
119,157.4799910634895,119.71
120,125.52037627028672,16.6
121,144.26989276138502,12.97
122,171.7803992149723,111.93
123,123.36553016448782,26.84
124,146.27602430915877,19.19
125,146.08169904058153,16.5
126,135.50414731601836,6.49
127,121.69632805721665,21.19
128,141.32608619294845,9.39
129,149.4262259762607,4.24
130,143.12770669844713,14.65
131,104.622130330534,49.23
132,115.99864926798172,16.44
133,134.73192508246203,10.51
134,183.89230405600583,23.32
135,141.11386332890916,5.75
136,168.9747082551611,106.51
137,142.09567101314263,10.45
138,137.70178744586914,10.81
139,112.62336246082522,19.95
140,122.6258612549698,4.06
141,133.94206971880115,18.32
142,117.61251133676282,28.53
143,130.18485548694258,2.32
144,178.82090564130613,108.7
145,176.56705127320646,24.27
146,172.60010632120918,111.01
147,181.8226710630944,102.36
148,121.85585261671392,31.05
149,164.28324431704,107.36
150,162.71095432762658,115.09
151,105.14726907917341,11.78
152,103.52158637849347,7.98
153,107.61518265143883,5.16
154,131.21826641892383,3.13
155,104.24191942323316,11.94
156,140.97765633265692,13.14
157,158.72117448640117,123.23
158,103.09473806567692,12.84
159,107.92375614127982,4.21
160,167.65435112114446,111.89
161,163.06719244675932,116.42
162,136.07901556453848,2.31
163,165.5255946830998,107.98
164,162.20970885721025,103.86
165,169.2336424122709,112.12
166,169.60993740725016,98.93
167,166.5612470681852,12.97
168,143.6405986230264,13.88
169,135.12454162240277,4.43
170,170.5678941579354,111.98
171,144.53330794262152,74.71
172,173.53390757156396,104.96
173,134.80742327559844,14.04
174,174.1755029685802,108.77
175,168.17850268704018,107.84
176,141.27524832411981,12.0
177,181.89349041147045,109.93
178,198.7142588576778,15.2
179,166.12029546365488,106.72
