date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2018-02-04 14:16:55.23 24.1772 121.6802 3.75 4.98 99 6.20 98 0.65 0.50 0.60 F 304 B
2018-02-04 14:13:52.87 24.1908 121.7162 14.31 4.19 7 10.10 212 0.44 1.20 1.20 F 14 D
2018-02-04 14:13:12.44 24.1505 121.7165 10.34 5.58 99 9.50 97 0.35 0.10 0.10 F 301 C
2018-02-04 14:12:49.52 24.2325 121.7812 10.68 4.16 44 8.90 188 0.29 0.30 0.30 F 88 C
2018-02-04 14:12:02.06 24.2295 121.7268 3.96 4.76 99 8.90 94 0.54 0.40 0.40 F 236 B
2018-02-04 14:10:52.18 24.2293 121.6948 3.73 4.94 99 10.30 81 0.65 0.40 0.50 F 312 C
2018-02-04 14:10:38.06 24.2283 121.7863 12.75 4.25 27 9.60 142 0.33 0.60 0.50 F 54 C
2018-02-04 14:05:27.14 24.2832 121.7687 8.19 4.63 99 3.40 103 0.68 0.60 0.40 F 281 B
2018-02-04 14:00:58.27 24.2628 121.7813 5.54 4.32 99 5.90 110 0.54 0.40 0.30 F 262 B
2018-02-04 13:59:55.24 24.2310 121.7342 7.09 4.19 77 8.60 114 0.44 0.40 0.50 F 154 B
2018-02-04 13:59:30.44 24.2022 121.8083 6.61 4.19 69 13.20 196 0.42 0.30 0.40 F 138 D
2018-02-04 13:58:18.04 24.1995 121.8293 11.33 4.31 15 14.50 243 0.27 0.40 0.80 F 30 C
2018-02-04 13:58:04.32 24.1725 121.6738 11.88 4.15 6 5.40 181 0.23 0.50 0.40 F 12 C
2018-02-04 13:57:42.38 24.1728 121.7058 10.23 5.28 49 8.60 172 0.31 0.30 0.20 F 87 C
2018-02-04 13:56:40.64 24.1507 121.7437 10.61 5.89 99 12.30 92 0.40 0.20 0.20 F 241 C
2018-02-04 13:33:09.51 24.2020 121.6780 5.45 4.32 99 7.40 84 0.61 0.40 0.30 F 323 B
2018-02-04 13:12:52.11 24.2055 121.6992 2.99 5.35 99 9.30 84 0.61 0.40 0.30 F 341 B
2018-02-05 17:37:13.85 24.1497 121.8118 13.16 4.63 99 18.80 89 0.28 0.20 0.30 F 314 B
2018-02-05 16:32:06.41 24.1070 121.7417 8.46 4.28 99 13.30 105 0.32 0.20 0.20 F 228 C
2018-02-05 15:58:41.28 24.1062 121.7352 8.32 5.04 99 12.80 98 0.33 0.10 0.20 F 271 C
2018-02-05 09:44:54.67 24.0967 121.7447 8.92 4.50 99 14.10 101 0.30 0.20 0.20 F 233 C
2018-02-05 09:06:42.59 24.1422 121.7762 8.12 4.56 99 15.70 85 0.34 0.20 0.30 F 214 C
2018-02-05 04:36:53.20 24.1983 121.7168 8.67 4.22 99 10.50 168 0.32 0.20 0.20 F 204 C
2018-02-06 23:43:51.77 24.0272 121.6533 7.45 4.92 99 7.70 100 0.39 0.10 0.10 F 266 C
2018-02-06 23:24:08.00 23.9840 121.5980 5.93 4.11 99 10.80 76 0.37 0.10 0.20 F 232 C
2018-02-06 23:11:42.82 24.0613 121.7115 5.94 4.87 99 11.10 106 0.33 0.10 0.20 F 284 C
2018-02-06 21:02:50.06 23.9700 121.5915 6.46 4.31 99 10.10 68 0.33 0.10 0.10 F 258 C
2018-02-06 20:58:02.12 24.2420 121.7162 13.02 4.09 99 8.00 84 0.29 0.20 0.10 F 189 B
2018-02-06 20:56:22.86 24.0595 121.6797 7.17 4.92 99 8.00 92 0.34 0.20 0.20 F 267 C
2018-02-06 20:51:24.84 24.1002 121.6905 8.61 4.05 99 9.00 116 0.39 0.20 0.10 F 232 C
2018-02-06 19:36:36.25 24.0018 121.7167 7.06 4.84 99 14.40 90 0.36 0.10 0.30 F 260 C
2018-02-06 19:17:23.15 23.9787 121.5985 6.73 4.29 97 10.80 154 0.37 0.20 0.30 F 140 C
2018-02-06 19:16:49.19 24.0613 121.6718 8.03 4.33 68 7.20 193 0.32 0.20 0.20 F 104 D
2018-02-06 19:15:28.68 24.0105 121.7272 5.65 5.46 99 14.70 100 0.32 0.20 0.30 F 267 C
2018-02-06 19:11:10.52 24.1245 121.7232 7.84 4.08 99 10.90 138 0.30 0.20 0.20 F 196 C
2018-02-06 19:01:09.78 24.0443 121.6752 8.45 4.00 99 8.20 116 0.35 0.10 0.10 F 231 C
2018-02-06 18:09:23.58 24.0302 121.6300 8.66 4.48 99 6.20 157 0.40 0.20 0.10 F 217 C
2018-02-06 18:08:43.48 24.0290 121.6258 7.42 4.00 45 6.10 163 0.36 0.30 0.20 F 79 C
2018-02-06 18:08:16.65 24.0370 121.6780 7.43 4.20 15 8.90 214 0.26 0.40 0.50 F 23 C
2018-02-06 18:08:01.08 23.9932 121.6072 11.10 4.04 6 9.80 250 0.31 2.90 1.80 F 10 D
2018-02-06 18:07:52.65 24.0432 121.6372 11.34 4.26 7 5.30 242 0.30 1.20 0.70 F 12 C
