121.9217 24.4010 10.35
121.4343 22.9622 24.97
121.9210 24.7828 11.58
121.9287 24.7768 13.08
121.0382 23.9992 8.25
121.8330 24.4920 11.54
121.7750 24.8585 93.93
121.9597 24.4055 12.97
121.8870 24.6723 11.62
121.6285 24.3068 18.32
121.1407 24.0500 5.00
121.6063 24.3328 21.09
121.9305 24.4320 22.16
121.1005 24.6490 3.83
121.1730 22.9283 10.00
121.6242 23.6988 32.38
121.4368 23.1048 12.36
121.9217 24.4178 12.14
121.6677 23.9387 44.52
121.9198 24.3893 19.04
121.9105 24.4020 17.65
121.9132 24.3862 16.63
121.8508 24.2978 9.40
121.6197 24.1077 26.64
121.3852 23.0545 18.31
121.6653 25.0562 121.53
121.7370 23.8867 41.66
121.1650 22.9693 12.91
121.1848 22.9265 8.28
121.1308 22.9818 8.52
121.5808 23.4652 25.50
121.5215 23.4965 22.31
121.6042 22.7605 14.17
121.9435 24.3478 3.78
121.9903 24.1010 42.89
121.3993 23.1715 19.59
121.6433 23.5033 28.83
121.8833 24.4862 12.45
121.4785 23.9268 18.10
121.8375 24.2983 12.61
121.6828 24.1572 2.06
121.9277 24.4055 24.18
121.6172 24.5957 70.23
121.9390 24.4313 23.53
121.3087 24.0670 10.09
121.0740 23.9623 9.18
121.8623 24.6065 59.30
121.7745 23.2398 15.19
121.0428 24.0022 14.70
121.7372 24.2602 11.98
121.0462 23.9958 11.96
121.7403 24.2585 10.70
121.0100 23.9590 6.01
121.8660 24.4532 17.12
121.7438 24.2412 5.63
121.6442 23.5028 27.42
121.7282 24.2700 7.64
121.6418 24.3393 15.98
121.6413 24.3350 16.12
121.9622 23.2728 20.10
121.6608 24.6140 41.63
121.3357 22.6902 87.63
121.2800 22.6275 29.02
121.9283 24.4328 16.74
121.4370 23.2167 46.83
121.9908 24.5423 6.26
121.3418 22.7370 31.94
121.7900 25.0492 136.48
121.8892 24.1957 16.38
121.7457 24.4190 20.96
121.2960 24.0863 9.93
121.5410 23.2105 38.94
121.3598 22.9123 25.53
121.6623 23.9637 41.96
121.9552 24.4010 15.49
121.2962 23.1575 11.67
121.0133 23.9602 9.67
121.9025 23.8150 27.61
121.7285 23.8877 13.47
121.8993 24.4097 12.35
121.9315 24.3395 9.47
121.9437 24.4340 24.23
121.8943 24.4635 10.56
121.9673 24.3702 19.14
121.5882 23.7178 30.00
121.1812 22.9797 9.45
121.8850 24.4035 13.30
121.1395 23.0362 8.05
121.8837 24.4228 11.31
121.8273 23.7568 35.01
121.7440 23.7552 42.17
121.6760 24.0252 47.04
121.9318 23.7730 10.45
121.8785 24.4043 11.58
121.5800 23.9142 38.03
121.4403 23.0252 23.57
121.9107 24.3890 11.48
121.5720 23.7227 24.76
121.9222 24.4198 11.98
121.6630 24.1818 25.59
121.6913 24.7750 78.83
121.7565 24.4303 26.59
121.9715 23.2983 23.21
121.8890 24.4083 11.15
121.2195 24.6588 6.17
121.2070 24.6590 5.59
121.7218 24.0333 27.92
121.9620 24.4167 11.87
121.0175 23.9397 7.91
121.6388 23.2993 29.79
121.3568 23.2027 20.76
121.3965 23.1993 22.81
121.9328 22.7332 4.75
121.8282 24.2685 34.29
121.2120 24.6643 11.58
121.6462 24.7562 51.11
121.7982 24.5698 70.37
121.7623 24.5702 69.13
121.5347 23.3727 28.28
121.6807 23.2352 16.09
121.8260 24.2780 10.90
121.6870 24.1515 8.96
121.3497 22.9990 20.44
121.7047 24.3383 47.74
121.7892 24.2883 11.62
121.7943 24.2965 10.12
121.7270 25.0795 147.43
121.8215 24.2798 9.27
